td_weight,sub_weight,silhouette,golden_accuracy,n_comp,combined_score
4.0,2.5,0.40381123133763214,0.4444444444444444,4,0.611111111111111
4.0,3.0,0.3968885035752807,0.4444444444444444,4,0.6059680686013078
4.0,3.5,0.3898090569846627,0.4444444444444444,4,0.6007085963222676
4.0,1.0,0.3851443157416408,0.4444444444444444,4,0.5972430602888319
3.5,3.0,0.3795597204040285,0.4444444444444444,4,0.5930941449757685
4.0,4.0,0.3789486881326671,0.4444444444444444,4,0.5926401960333352
4.0,1.5,0.3741761223830982,0.4444444444444444,4,0.5890945548679623
3.5,3.5,0.3741228647466758,0.4444444444444444,4,0.5890549886308523
3.5,4.0,0.36783428989920797,0.4444444444444444,4,0.5843830718840322
3.0,3.0,0.36310044649540674,0.4444444444444444,4,0.5808661983774779
4.0,2.0,0.36211850837342385,0.4444444444444444,4,0.5801366955461202
3.0,3.5,0.35682041652969854,0.4444444444444444,4,0.5762006298060649
3.0,2.0,0.3504376432532983,0.4444444444444444,5,0.5714587310317858
3.5,2.0,0.34747604205676014,0.4444444444444444,4,0.5692584941636374
3.0,4.0,0.3458707417645377,0.4444444444444444,4,0.5680658822442723
3.0,2.5,0.33636627420174575,0.4444444444444444,5,0.56100481002151
3.5,1.0,0.3337886333491868,0.4444444444444444,5,0.5590898255045957
2.5,4.0,0.3288203525106556,0.4444444444444444,4,0.5553987834139087
3.5,1.5,0.3235131560278435,0.4444444444444444,5,0.5514559536427565
2.5,2.0,0.31757001969822607,0.4444444444444444,5,0.5470406705586798
2.5,2.5,0.31261817149831456,0.4444444444444444,5,0.5433618366266653
2.0,1.0,0.2067201258304154,0.5555555555555556,6,0.542465691455017
3.0,1.0,0.3107810151041877,0.4444444444444444,5,0.5419969738505301
2.5,3.0,0.3058088449671953,0.4444444444444444,5,0.5383030423168365
1.5,1.0,0.19561992688222266,0.5555555555555556,6,0.534219116258416
2.5,3.5,0.3001817578300675,0.4444444444444444,5,0.5341225589371484
3.0,1.5,0.297659638629998,0.4444444444444444,5,0.5322488226433002
3.5,2.5,0.39284220404309117,0.3333333333333333,4,0.5251842083635752
2.0,3.0,0.2742625715657929,0.4444444444444444,5,0.5148666411323736
2.0,2.0,0.2679384781843272,0.4444444444444444,6,0.5101683369070178
2.0,1.5,0.267418283492738,0.4444444444444444,6,0.5097818731453244
2.0,2.5,0.25930770524194996,0.4444444444444444,6,0.5037563511033136
2.5,1.0,0.24739902185524568,0.4444444444444444,6,0.494909135526429
2.5,1.5,0.23427903696307462,0.4444444444444444,6,0.4851620181552423
1.5,2.5,0.22461693477937478,0.4444444444444444,6,0.4779838358013038
1.5,2.0,0.2205105172394894,0.4444444444444444,6,0.4749330903876985
1.5,1.5,0.20044935205443498,0.4444444444444444,6,0.4600292217271354
2.0,4.0,0.28049137341423114,0.3333333333333333,5,0.4417163734620823
2.0,3.5,0.27923512401003375,0.3333333333333333,5,0.44078307891252055
1.0,3.0,0.27502270551653535,0.3333333333333333,5,0.4376535831234525
1.0,3.5,0.2701058394605178,0.3333333333333333,5,0.4340007381742937
1.0,4.0,0.26456839037831476,0.3333333333333333,5,0.42988684882268247
1.5,4.0,0.25737740645724566,0.3333333333333333,5,0.4245445130754209
1.5,3.5,0.25561632237394116,0.3333333333333333,5,0.42323616604594066
1.0,2.5,0.2545856444640277,0.3333333333333333,6,0.4224704533837401
1.0,2.0,0.23839267199578842,0.3333333333333333,6,0.41044034782085137
1.5,3.0,0.23177893808766467,0.3333333333333333,6,0.4055268634537507
1.0,1.5,0.21714665538073405,0.3333333333333333,6,0.3946562276927337
1.0,1.0,0.21682689226257323,0.3333333333333333,6,0.3944186688335348
